ID,親ID,名称,別称,URL,分類,説明,稼働状況,Database name,Alternative name,URL (English),Database description,Operation status,カタログリンク（日本語）,カタログリンク（英語）,横断検索リンク,アーカイブリンク（日本語）,アーカイブリンク（英語）,RDFポータルリンク,ヒトDB ID,ヒトDBリンク（日本語）,ヒトDBリンク（英語）
NBDC02148,,Cell Line Integrated Molecular Authentication Database,,http://bioinformatics.hsanmartino.it/clima2/,データベース,CLIMA 2 は、独自のデータベースに、認証されたヒト細胞株 STR プロファイルの全てを収載することを目指した統合データベースです。データベースの内容は、ホームページのテーブル内でダイナミックに要約されます（すなわち、常に最新状態が保たれます）。CLIMA は、ユーザーの細胞株を同定するために利用できます。また、名前または遺伝子座のどちらかで検索することができます。細胞系の同定については、ANSI/ATCC ASN-0002-2011「ヒト細胞株の認証：STRプロファイリングの標準化」に基づいています。,稼動中,Cell Line Integrated Molecular Authentication Database,CLIMA,http://bioinformatics.hsanmartino.it/clima2/,"CLIMA 2 is the result of an integration effort aimed at including all certified STR profiles of human cell lines in a unique database. The contents of the database are dynamically summarized (i.e., they are always up-to-date) in a table in the home page. CLIMA can be used to identify researcher's cell lines. Moreover, it can be searched either by name or by locus. The identification of a cell line is performed according to the standard ANSI/ATCC ASN-0002-2011 on ""Authentication of Human Cell Lines: Standardization of STR Profiling"".",Active,https://integbio.jp/dbcatalog/record/nbdc02148,https://integbio.jp/dbcatalog/en/record/nbdc02148,,,,,,,
NBDC02149,,Medical Data Models,,https://medical-data-models.org,データベース,医療用フォームを作成、分析、共有、再利用するためのメタデータレジストリです。日常的な健康データの記録フォーム（EHR）や臨床試験の症例報告書（CRF）をシステムに依存しない CDISC Operational Data Model （ODM）フォーマットで収録しています。研究者は、PDF、CSV、Excel、SQL、SPSS、Rなど、最も一般的なフォーマットでデータを閲覧、ダウンロードすることが可能です。,稼動中,Medical Data Models,MDM,https://medical-data-models.org,"MDM-Portal (Medical Data-Models) is a meta-data registry for creating, analysing, sharing and reusing medical forms, developed by the Institute of Medical Informatics, University of Muenster in Germany.
see also http://www.ncbi.nlm.nih.gov/pubmed/26868052
Electronic forms for documentation of patient data are an integral part within the workflow of physicians. A huge amount of data is collected either through routine documentation forms (EHRs) for electronic health records or as case report forms (CRFs) for clinical trials. This raises major scientific challenges for health care, since different health information systems are not necessarily compatible with each other and thus information exchange of structured data is hampered.
Software vendors provide a variety of individual documentation forms according to their standard contracts, which function as isolated applications. Furthermore, free availability of those forms is rarely the case. Currently less than 5 % of medical forms are freely accessible.
Based on this lack of transparency harmonization of data models in health care is extremely cumbersome, thus work and know-how of completed clinical trials and routine documentation in hospitals are hard to be re-used.
The MDM-Portal serves as an infrastructure for academic (non-commercial) medical research to contribute a solution to this problem. It already contains more than 6,000 system-independent forms (CDISC ODM Format, www.cdisc.org, Operational Data Model) with more than 470,000 data-elements. This enables researchers to view, discuss, download and export forms in most common technical formats such as PDF, CSV, Excel, SQL, SPSS, R, etc. A growing user community will lead to a growing database of medical forms. In this matter, we would like to encourage all medical researchers to register and add forms and discuss existing forms.",Active,https://integbio.jp/dbcatalog/record/nbdc02149,https://integbio.jp/dbcatalog/en/record/nbdc02149,,,,,,,
NBDC02150,,Ontology and Knowledge Base of Probability Distributions,,http://www.probonto.org,データベース,確率分布のオントロジーに基づく知識ベースです。150 以上の単変量分布と多変量分布を、その定義関数、特性、関係および再パラメータ化式を取り扱っています。本リソースは、モデルのアノテーション付与に利用でき、分布に基づくモデル、関連する関数と量のエンコーディングを容易にします。ProbOnto はオントロジーベースであると同時に知識ベースとして機能していますが、その主な焦点は知識ベースに置かれています。,稼動中,Ontology and Knowledge Base of Probability Distributions,ProbOnto,http://www.probonto.org,"ProbOnto, is an ontology-based knowledge base of probability distributions, featuring more than 150 uni- and multivariate distributions with their defining functions, characteristics, relationships and re-parameterization formulas. It can be used for model annotation and facilitates the encoding of distribution-based models, related functions and quantities. ProbOnto is both an ontology and a knowledge base, however its primary focus is the knowledge base.",Active,https://integbio.jp/dbcatalog/record/nbdc02150,https://integbio.jp/dbcatalog/en/record/nbdc02150,,,,,,,
NBDC02151,,The ITHANET Portal,,http://www.ithanet.eu,データベース,血友病（haemoglobinopathy）を扱う臨床医および研究者のための拡張リソースであり、専門家のアドバイスを求める患者のためのポータルサイトでもあります。ニュース、イベント、臨床試験、サラセミア関連団体、研究プロジェクトおよびその他の科学ネットワーク、プロトコルに関するWiki ベースの内容、臨床ガイドライン、研修資料に関する情報を統合して提供しています。ヘモグロビン変異体データベース（IthaGenes）、疫学データベース（IthaMaps）、HbF誘導因子データベース（IthaDrugs）などの疾病に特化したデータベースが ITHANET ポータル上で開発、維持されています。,稼動中,The ITHANET Portal,ITHANET,http://www.ithanet.eu,"The ITHANET Portal represents an expanding resource for clinicians and researchers dealing with haemoglobinopathies and a port of call for patients in search of professional advice. The ITHANET Portal integrates information on news, events, clinical trials and thalassaemia-related organisations, research projects and other scientific networks, wiki-based content of protocols, clinical guidelines and educational articles. Most importantly, disease-specific databases are developed and maintained on the ITHANET Portal, such as databases of haemoglobin variations (IthaGenes), epidemiology (IthaMaps) and HbF inducers (IthaDrugs).",Active,https://integbio.jp/dbcatalog/record/nbdc02151,https://integbio.jp/dbcatalog/en/record/nbdc02151,,,,,,,
NBDC02152,,Japanese Genotype-phenotype Archive,,https://www.ddbj.nig.ac.jp/jga,データベース,生物医学研究プロジェクトの成果として得られた、あらゆる種類の個人レベルでの遺伝的データと匿名化された表現型データを永続的にアーカイブし、共有するためのサービスです。アレイと新世代シークエンサーからの生データ、遺伝子型・構造変異、統計解析などの解析処理されたデータなどを保存しています。JST/NBDC で承認された匿名化データだけを受け付けています。,稼動中,Japanese Genotype-phenotype Archive,JGA,https://www.ddbj.nig.ac.jp/jga,The Japanese Genotype-phenotype Archive (JGA) is a service for permanent archiving and sharing of all types of individual-level genetic and de-identified phenotypic data resulting from biomedical research projects.,Active,https://integbio.jp/dbcatalog/record/nbdc02152,https://integbio.jp/dbcatalog/en/record/nbdc02152,,,,,,,
NBDC02153,,MitoCheck,,http://www.mitocheck.org,データベース,ヒト遺伝子の細胞機能に関する情報を統合し、表現型を示す顕微鏡画像などの補助的情報へのアクセスを提供するデータベースです。 EUが支援する２つのプロジェクト MitoCheck と MitoSysにより得られた主に有糸分裂に関わる遺伝子について、遺伝子名、表現型、dsRNAによる表現型、タンパク質相互作用、配列、発現画像などを収録しています。,稼動中,MitoCheck,,http://www.mitocheck.org,MitoCheck aims to integrate information on cellular function of human genes while giving access to supporting information such as microscopy images of phenotypes,Active,https://integbio.jp/dbcatalog/record/nbdc02153,https://integbio.jp/dbcatalog/en/record/nbdc02153,,,,,,,
NBDC02154,,Image Data Resource,,https://idr.openmicroscopy.org,データベース,バイオイメージング画像を公開し、マイニングし、および統合するためのプロトタイププラットフォームです。Open Microscopy Environment が開発した OMERO および Bio-Formats オープンソースソフトウェアを使用した Euro-BioImaging / ELIXIR イメージング戦略に基づいています。本リポジトリは、EMBL-EBI の Embassy リソース上で実行される OpenStack クラウドに実装されており、遺伝子、RNAi、化学、局在、地理的高画質スクリーニング、超解像顕微鏡、デジタル病理学分野の個々の研究にリンクされた形で画像データが含まれています。,稼動中,Image Data Resource,IDR,https://idr.openmicroscopy.org,"IDR is a prototype platform for publishing, mining and integrating bioimaging data at scale, following the Euro-BioImaging/ELIXIR imaging strategy using the OMERO and Bio-Formats open source software built by the Open Microscopy Environment. Deployed on an OpenStack cloud running on the EMBL-EBI's Embassy resource, it includes image data linked to independent studies from genetic, RNAi, chemical, localisation and geographic high content screens, super-resolution microscopy, and digital pathology.",Active,https://integbio.jp/dbcatalog/record/nbdc02154,https://integbio.jp/dbcatalog/en/record/nbdc02154,,,,,,,
NBDC02155,,Virtual Parts Repository,,http://www.virtualparts.org,データベース,モジュール化され構成することができる、再利用可能な生物学的パーツのリポジトリです。プロモーター、機能パーツ、RBSなどの生物学的パーツについて、塩基配列、 生物種、内生事象、相互作用などの情報を収録しています。パーツの種類や生物種による絞り込みが可能です。,稼動中,Virtual Parts Repository,VPR,http://www.virtualparts.org,"A repository of reusable, modular and composable models of biological parts.",Active,https://integbio.jp/dbcatalog/record/nbdc02155,https://integbio.jp/dbcatalog/en/record/nbdc02155,,,,,,,
NBDC02156,,Clinical Knowledgebase,,https://jax.org/ckb,データベース,半自動/手作業でキュレーションされた腫瘍に関するゲノムプロファイルのデータベースです。遺伝子/変異体のアノテーション、治療に関する知見、診断/予後情報、および臨床試験に関するデータを取り扱っています。体細胞遺伝子変異体のタンパク質の影響に関する最新の情報を含む他、有効性エビデンスについてのアノテーションにより、その変異体をターゲットとなる治療法と結びつけます。さらに CKBは、臨床試験の患者の（遺伝子型特異的な）ゲノム変化を含む適格基準を収載しています。CKB には、一般的に知られているドライバー遺伝子が 82 種含まれています。ユーザーは、遺伝子、遺伝子変異体、薬剤、薬剤クラス、適応症、臨床試験を通じて検索することができます。 CKB は、特定のデータ属性のナレッジベースを照合するように設計されていますが、必要なコンテンツが見つからない場合でも類似の情報を着実に検索します。,稼動中,Clinical Knowledgebase,JAX-CKB,https://jax.org/ckb,"The Jackson Laboratory Clinical Knowledgebase (CKB) is a semi-automated/manually curated database of gene/variant annotations, therapy knowledge, diagnostic/prognostic information, and clinical trials related to oncology. CKB not only contains current information on the protein effect of somatic gene variants, but also connects the variant to targeted therapies through an efficacy evidence annotation. In addition, CKB captures clinical trial patient eligibility criteria that include genomic alterations (genotype-specific). The public access version of CKB encompasses 82 commonly known driver genes. Users can search CKB via gene, gene variants, drug, drug class, indication, and clinical trials. The web-based version of CKB is designed to interrogate the knowledgebase for specific data attributes while also enabling a robust browse like feature when the desired content is unknown.",Active,https://integbio.jp/dbcatalog/record/nbdc02156,https://integbio.jp/dbcatalog/en/record/nbdc02156,,,,,,,
NBDC02157,,Curie Image Database,,https://cid.curie.fr,データベース,進行中の共同研究に使用されるデータの他、France Bio Imaging の顕微鏡施設で撮影された画像を公開するデータベースです。出版物に関連しているか、画像処理の観点から関心を集めている（開発者の課題解決や計量に利用するなど）画像を収録しています。本リソースにはログインアカウントが必要ですが、一部のプロジェクトではゲストアカウントを使用できます。,稼動中,Curie Image Database,CID,https://cid.curie.fr,"In addition to data used in on-going collaborations, this database host images from France Bio Imaging microscopy facility with public access either associated to publications, either that make interest from an image processing point of view (such as challenges for developpers or for use in metrology). This resource requires a log in account, however some projects are available with a guest account.",Active,https://integbio.jp/dbcatalog/record/nbdc02157,https://integbio.jp/dbcatalog/en/record/nbdc02157,,,,,,,
