CHEMBL1201179	R-HSA-6811558
CHEMBL1201179	R-HSA-8866910
CHEMBL1201179	R-HSA-1227986
CHEMBL1201179	R-HSA-1257604
CHEMBL1201179	R-HSA-1358803
CHEMBL1201179	R-HSA-8863795
CHEMBL1201179	R-HSA-5673001
CHEMBL1201179	R-HSA-1250196
CHEMBL1201179	R-HSA-1963640
CHEMBL1201179	R-HSA-1963642
CHEMBL1201179	R-HSA-6785631
CHEMBL1201179	R-HSA-8847993
CHEMBL1201585	R-HSA-1251932
CHEMBL1201585	R-HSA-1306955
CHEMBL1201585	R-HSA-416572
CHEMBL1201585	R-HSA-2219530
CHEMBL1201585	R-HSA-6811558
CHEMBL1201585	R-HSA-8866910
CHEMBL1201585	R-HSA-1227986
CHEMBL1201585	R-HSA-1257604
CHEMBL1201585	R-HSA-1358803
CHEMBL1201585	R-HSA-8863795
CHEMBL1201585	R-HSA-5673001
CHEMBL1201585	R-HSA-1250196
CHEMBL1201585	R-HSA-1963640
CHEMBL1201585	R-HSA-1963642
CHEMBL1201585	R-HSA-6785631
CHEMBL1201585	R-HSA-8847993
CHEMBL1743082	R-HSA-1251932
CHEMBL1743082	R-HSA-1306955
CHEMBL1743082	R-HSA-416572
CHEMBL1743082	R-HSA-2219530
CHEMBL1743082	R-HSA-6811558
CHEMBL1743082	R-HSA-8866910
CHEMBL1743082	R-HSA-1227986
CHEMBL1743082	R-HSA-1257604
CHEMBL1743082	R-HSA-1358803
CHEMBL1743082	R-HSA-8863795
CHEMBL1743082	R-HSA-5673001
CHEMBL1743082	R-HSA-1250196
CHEMBL1743082	R-HSA-1963640
CHEMBL1743082	R-HSA-1963642
CHEMBL1743082	R-HSA-6785631
CHEMBL1743082	R-HSA-8847993
CHEMBL2007641	R-HSA-1251932
CHEMBL2007641	R-HSA-1306955
CHEMBL2007641	R-HSA-416572
CHEMBL2007641	R-HSA-2219530
CHEMBL2007641	R-HSA-6811558
CHEMBL2007641	R-HSA-8866910
CHEMBL2007641	R-HSA-1227986
CHEMBL2007641	R-HSA-1257604
CHEMBL2007641	R-HSA-1358803
CHEMBL2007641	R-HSA-8863795
CHEMBL2007641	R-HSA-5673001
CHEMBL2007641	R-HSA-1250196
CHEMBL2007641	R-HSA-1963640
CHEMBL2007641	R-HSA-1963642
CHEMBL2007641	R-HSA-6785631
CHEMBL2007641	R-HSA-8847993
CHEMBL451887	R-HSA-5689880
CHEMBL451887	R-HSA-5689603
CHEMBL325041	R-HSA-5689880
CHEMBL325041	R-HSA-5689603
CHEMBL98	R-HSA-381340
CHEMBL98	R-HSA-2644606
CHEMBL98	R-HSA-2894862
CHEMBL98	R-HSA-1989781
CHEMBL98	R-HSA-400206
CHEMBL98	R-HSA-400253
CHEMBL98	R-HSA-3214815
CHEMBL98	R-HSA-2151201
CHEMBL98	R-HSA-350054
CHEMBL98	R-HSA-390471
CHEMBL98	R-HSA-8940973
CHEMBL98	R-HSA-1368071
CHEMBL98	R-HSA-193670
CHEMBL98	R-HSA-5617472
CHEMBL98	R-HSA-8943724
CHEMBL98	R-HSA-9022692
CHEMBL98	R-HSA-2122947
CHEMBL98	R-HSA-9022537
CHEMBL407	R-HSA-977443
CHEMBL451	R-HSA-977443
CHEMBL526	R-HSA-977443
CHEMBL856	R-HSA-977443
CHEMBL450	R-HSA-977443
CHEMBL1257	R-HSA-977443
CHEMBL979	R-HSA-977443
CHEMBL12	R-HSA-977443
CHEMBL452	R-HSA-977443
CHEMBL568	R-HSA-977443
CHEMBL448	R-HSA-977443
CHEMBL1522	R-HSA-977443
CHEMBL971	R-HSA-977443
CHEMBL580	R-HSA-977443
