mbgd_organism_id	tax_id
mbgd:sme	orth:266834
mbgd:mlo	orth:266835
mbgd:kra	orth:266940
mbgd:mmp	orth:267377
mbgd:pac	orth:267747
mbgd:rru	orth:269796
mbgd:chu	orth:269798
mbgd:tfu	orth:269800
mbgd:ape	orth:272557
mbgd:bps	orth:272560
mbgd:ctr	orth:272561
mbgd:cac	orth:272562
mbgd:cdf	orth:272563
mbgd:gdj	orth:272568
mbgd:hma	orth:272569
mbgd:kpn	orth:272620
mbgd:lla	orth:272623
mbgd:lpn	orth:272624
mbgd:lin	orth:272626
mbgd:pmu	orth:272843
mbgd:rsp	orth:272943
mbgd:rpr	orth:272947
mbgd:sso	orth:273057
mbgd:tte	orth:273068
mbgd:tac	orth:273075
mbgd:uur	orth:273119
mbgd:wsu	orth:273121
mbgd:ppe	orth:278197
mbgd:nar	orth:279238
mbgd:lxx	orth:281090
mbgd:bhe	orth:283166
mbgd:cnb	orth:283643
mbgd:ilo	orth:283942
mbgd:kla	orth:284590
mbgd:yli	orth:284591
mbgd:dha	orth:284592
mbgd:cgr	orth:284593
mbgd:ago	orth:284811
mbgd:spo	orth:284812
mbgd:ecu	orth:284813
mbgd:rsa	orth:288705
mbgd:tye	orth:289376
mbgd:cko	orth:290338
mbgd:esa	orth:290339
mbgd:ade	orth:290397
mbgd:csa	orth:290398
mbgd:art	orth:290399
mbgd:jan	orth:290400
mbgd:paa	orth:290512
mbgd:gox	orth:290633
mbgd:tbd	orth:292415
mbgd:sth	orth:292459
mbgd:cgc	orth:292564
mbgd:amt	orth:293826
mbgd:tps	orth:296543
mbgd:pol	orth:296591
mbgd:ppr	orth:298386
mbgd:cpo	orth:309798
mbgd:dth	orth:309799
mbgd:hvo	orth:309800
mbgd:tro	orth:309801
mbgd:sru	orth:309807
mbgd:csu	orth:311458
mbgd:pnu	orth:312153
mbgd:vfi	orth:312309
mbgd:ptq	orth:313595
mbgd:rbi	orth:313596
mbgd:pom	orth:313598
mbgd:fbc	orth:313603
mbgd:gm03141	orth:313624
mbgd:eli	orth:314225
mbgd:pbr	orth:314260
mbgd:amc	orth:314275
mbgd:hau	orth:316274
mbgd:tcx	orth:317025
mbgd:sal	orth:317655
mbgd:pde	orth:318586
mbgd:plt	orth:319225
mbgd:pic	orth:322104
mbgd:avn	orth:322710
mbgd:nwi	orth:323098
mbgd:mhu	orth:323259
mbgd:noc	orth:323261
mbgd:nmu	orth:323848
mbgd:pjd	orth:324057
mbgd:cau	orth:324602
mbgd:tdn	orth:326298
mbgd:pha	orth:326442
mbgd:amr	orth:329726
mbgd:nde	orth:330214
mbgd:afm	orth:330879
mbgd:sng	orth:331113
mbgd:fac	orth:333146
mbgd:tpv	orth:333668
mbgd:fma	orth:334413
mbgd:swo	orth:335541
mbgd:sfu	orth:335543
mbgd:pub	orth:335992
mbgd:ztr	orth:336722
mbgd:pca	orth:338963
mbgd:rfr	orth:338969
mbgd:mst	orth:339860
mbgd:cch	orth:340177
mbgd:mag	orth:342108
mbgd:sgl	orth:343509
mbgd:lma	orth:347515
mbgd:ret	orth:347834
mbgd:nph	orth:348780
mbgd:hha	orth:349124
mbgd:drm	orth:349161
mbgd:acr	orth:349163
mbgd:mtp	orth:349307
mbgd:hch	orth:349521
mbgd:amu	orth:349741
mbgd:rci	orth:351160
mbgd:maq	orth:351348
mbgd:ace	orth:351607
mbgd:csc	orth:351627
mbgd:ddi	orth:352472
mbgd:cpv	orth:353152
mbgd:ots	orth:357244
mbgd:pin	orth:357804
mbgd:rrs	orth:357808
mbgd:cpy	orth:357809
mbgd:bbe	orth:358681
mbgd:hwa	orth:362976
mbgd:lip	orth:363253
mbgd:pfa	orth:36329
mbgd:rta	orth:365046
mbgd:ncr	orth:367110
mbgd:abu	orth:367737
mbgd:mem	orth:368407
mbgd:tpe	orth:368408
mbgd:wbr	orth:36870
mbgd:stp	orth:369723
mbgd:ath	orth:3702
mbgd:pth	orth:370438
mbgd:hor	orth:373903
mbgd:riv	orth:373994
mbgd:bci	orth:374463
mbgd:kcr	orth:374847
mbgd:mms	orth:375286
mbgd:rde	orth:375451
mbgd:fjo	orth:376686
mbgd:ttu	orth:377629
mbgd:krh	orth:378753
mbgd:sur	orth:378806
mbgd:gau	orth:379066
mbgd:afe	orth:380394
mbgd:aha	orth:380703
mbgd:hya	orth:380749
mbgd:fno	orth:381764
mbgd:cyq	orth:385025
mbgd:nis	orth:387092
mbgd:sun	orth:387093
mbgd:crp	orth:387662
mbgd:gm03586	orth:388413
mbgd:tme	orth:391009
mbgd:gbe	orth:391165
mbgd:oar	orth:391616
mbgd:pga	orth:391619
mbgd:vei	orth:391735
mbgd:swi	orth:392499
mbgd:abo	orth:393595
mbgd:mmr	orth:394221
mbgd:gca	orth:395494
mbgd:lch	orth:395495
mbgd:bid	orth:395963
mbgd:msl	orth:395965
mbgd:tgr	orth:396588
mbgd:aav	orth:397945
mbgd:cma	orth:397948
mbgd:dac	orth:398578
mbgd:dsh	orth:398580
mbgd:mse	orth:399549
mbgd:smr	orth:399550
mbgd:tex	orth:399726
mbgd:spe	orth:399741
mbgd:ent	orth:399742
mbgd:mmw	orth:400668
mbgd:tsa	orth:401053
mbgd:pla	orth:402881
mbgd:pmo	orth:403833
mbgd:vir	orth:403957
mbgd:sen	orth:405948
mbgd:nat	orth:406552
mbgd:xne	orth:406817
mbgd:mla	orth:410358
mbgd:gfo	orth:411154
mbgd:vok	orth:412965
mbgd:rma	orth:413404
mbgd:csy	orth:414004
mbgd:hbu	orth:415426
mbgd:apl	orth:416269
mbgd:hla	orth:416348
mbgd:mex	orth:419610
mbgd:lbz	orth:420245
mbgd:msi	orth:420247
mbgd:mpt	orth:420662
mbgd:adg	orth:429009
mbgd:lif	orth:435258
mbgd:pdi	orth:435591
mbgd:sul	orth:436114
mbgd:nmr	orth:436308
mbgd:azc	orth:438753
mbgd:dal	orth:439235
mbgd:bse	orth:439292
mbgd:oan	orth:439375
mbgd:abi	orth:439481
mbgd:cyt	orth:43989
mbgd:acl	orth:441768
mbgd:asd	orth:443218
mbgd:mpz	orth:443254
mbgd:cmi	orth:443906
mbgd:lsp	orth:444177
mbgd:smg	orth:444179
mbgd:emi	orth:445932
mbgd:ami	orth:446462
mbgd:bfa	orth:446465
mbgd:cfl	orth:446466
mbgd:nda	orth:446468
mbgd:ske	orth:446469
mbgd:sna	orth:446470
mbgd:xce	orth:446471
mbgd:scl	orth:448385
mbgd:mar	orth:449447
mbgd:pzu	orth:450851
mbgd:aas	orth:452471
mbgd:ote	orth:452637
mbgd:ksk	orth:452652
mbgd:sjp	orth:452662
mbgd:iho	orth:453591
mbgd:mbn	orth:456442
mbgd:nth	orth:457570
mbgd:mcl	orth:458233
mbgd:gm02407	orth:459349
mbgd:mlu	orth:465515
mbgd:eta	orth:465817
mbgd:tbi	orth:469371
mbgd:ccu	orth:469378
mbgd:hbo	orth:469382
mbgd:cwo	orth:469383
mbgd:rsd	orth:471821
mbgd:tcu	orth:471852
mbgd:bcv	orth:471853
mbgd:dfe	orth:471854
mbgd:shi	orth:471855
mbgd:jde	orth:471856
mbgd:svi	orth:471857
